id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2026-01-05 11:00:00;8376.598
NE;NORDESTE;2026-01-05 11:00:00;13477.293
S;SUL;2026-01-05 11:00:00;13210.67
SE;SUDESTE/CENTRO-OESTE;2026-01-05 11:00:00;44608.36299999998
N;NORTE;2026-01-05 12:00:00;8491.285
NE;NORDESTE;2026-01-05 12:00:00;13104.591
S;SUL;2026-01-05 12:00:00;12727.384
SE;SUDESTE/CENTRO-OESTE;2026-01-05 12:00:00;44832.41600000001
N;NORTE;2026-01-05 13:00:00;8801.304
NE;NORDESTE;2026-01-05 13:00:00;13303.705999999996
S;SUL;2026-01-05 13:00:00;13300.76
SE;SUDESTE/CENTRO-OESTE;2026-01-05 13:00:00;45145.3
N;NORTE;2026-01-05 14:00:00;9146.098000000002
NE;NORDESTE;2026-01-05 14:00:00;13747.669000000002
S;SUL;2026-01-05 14:00:00;13585.107999999997
SE;SUDESTE/CENTRO-OESTE;2026-01-05 14:00:00;45840.96300000001
N;NORTE;2026-01-05 15:00:00;9113.103
NE;NORDESTE;2026-01-05 15:00:00;14033.668
S;SUL;2026-01-05 15:00:00;13709.721999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-05 15:00:00;46737.274000000005
N;NORTE;2026-01-05 16:00:00;8923.362000000001
NE;NORDESTE;2026-01-05 16:00:00;14653.897
S;SUL;2026-01-05 16:00:00;14203.878999999995
